titulo,co_autores,ano_pub,DOI,estudio
Cognitive decline in high-functioning older persons is associated with an increased risk of hospitalization.,"Chodosh, Joshua; Seeman, Teresa E.; Keeler, Emmett; Sewall, Ase; Hirsch, Susan H.; Guralnik, Jack M.; Reuben, David B.",2004,10.1111/j.1532-5415.2004.52407.x,
Cognitive Diversity in a Healthy Aging Cohort:  Cross-Domain Cognition in the Cam-CAN Project,"Shafto, Meredith A.; Henson, Richard N.; Matthews, Fiona E.; Taylor, Jason R.; Emery, Tina; Erzinclioglu, Sharon; Hanley, Claire; Rowe, James B.; Cusack, Rhodri; Calder, Andrew J.; Marslen-Wilson, William D.; Duncan, John; Dalgleish, Tim; Brayne, Carol; Cam-Can; Tyler, Lorraine K.",2020,10.1177/0898264319878095,
Cognitive function in childhood and lifetime cognitive change in relation to mental wellbeing in four cohorts of older people.,"Gale, Catharine R.; Cooper, Rachel; Craig, Leone; Elliott, Jane; Kuh, Diana; Richards, Marcus; Starr, John M.; Whalley, Lawrence J.; Deary, Ian J.",2012,10.1371/journal.pone.0044860,
Cognitive function trajectories and their determinants in older people: 8 years of follow-up in the English Longitudinal Study of Ageing.,"Zaninotto, Paola; Batty, G. David; Allerhand, Michael; Deary, Ian J.",2018,10.1136/jech-2017-210116,
Cognitive-Linguistic Performance and Quality of Life in Healthy Aging.,"Constantinidou, Fofi; Prokopiou, Juliana; Nikou, Maria; Papacostas, Savvas",2015,10.1159/000440835,
Cohort Profile:  The Melbourne Longitudinal Studies on Healthy Ageing Program,"Browning, Colette J.; Kendig, Hal",2010,10.1093/ije/dyq137,
"Cohort Profile: LifeLines, a three-generation cohort study and biobank.","Scholtens, Salome; Smidt, Nynke; Swertz, Morris A.; Bakker, Stephan J. L.; Dotinga, Aafje; Vonk, Judith M.; van Dijk, Freerk; van Zon, Sander K. R.; Wijmenga, Cisca; Wolffenbuttel, Bruce H. R.; Stolk, Ronald P.",2015,10.1093/ije/dyu229,
Cohort Profile: The ASPREE Longitudinal Study of Older Persons (ALSOP).,"McNeil, John J.; Woods, Robyn L.; Ward, Stephanie A.; Britt, Carlene J.; Lockery, Jessica E.; Beilin, Lawrence J.; Owen, Alice J.",2019,10.1093/ije/dyy279,
Cohort profile: the Diet and Healthy Aging (DaHA) study in Singapore.,"Yu, Rongjun; Sun, Ye; Ye, Kaisy Xinhong; Feng, Qiushi; Lim, Su Lin; Mahendran, Rathi; Cheah, Irwin Kee-Mun; Foo, Roger Sik Yin; Chua, Ru Yuan; Gwee, Xinyi; Loh, Marie; Sarmugam, Rani; Khine, Wei Wei Thwe; Chao, Yin Xia; Larbi, Anis; Lee, Yuan Kun; Kumar, Alan Prem; Kennedy, Brian K.; Kua, Ee Heok; Feng, Lei",2020,10.18632/aging.104051,
Cohort Profile: The DynaHEALTH consortium - a European consortium for a life-course bio-psychosocial model of healthy ageing of glucose homeostasis.,"Sebert, Sylvain; Lowry, Estelle; Aumüller, Nicole; Bermúdez, Mercedes G.; Bjerregaard, Lise G.; de Rooij, Susanne R.; De Silva, Maneka; El Marroun, Hanan; Hummel, Nadine; Juola, Teija; Mason, Giacomo; Much, Daniela; Oliveros, Elena; Poupakis, Stavros; Rautio, Nina; Schwarzfischer, Phillipp; Tzala, Evangelia; Uhl, Olaf; van de Beek, Cornelieke; Vehmeijer, Florianne; Verdejo-Román, Juan; Wasenius, Niko; Webster, Claire; Ala-Mursula, Leena; Herzig, Karl-Heinz; Keinänen-Kiukaanniemi, Sirkka; Miettunen, Jouko; Baker, Jennifer L.; Campoy, Cristina; Conti, Gabriella; Eriksson, Johan G.; Hummel, Sandra; Jaddoe, Vincent; Koletzko, Berthold; Lewin, Alex; Rodriguez-Palermo, Maria; Roseboom, Tessa; Rueda, Ricardo; Evans, Jayne; Felix, Janine F.; Prokopenko, Inga; Sørensen, Thorkild I. A.; Järvelin, Marjo-Riitta",2019,10.1093/ije/dyz056,
Cohort Profile: The Healthy Aging Longitudinal Study in Taiwan (HALST).,"Hsu, Chih-Cheng; Chang, Hsing-Yi; Wu, I.-Chien; Chen, Chu-Chih; Tsai, Hui-Ju; Chiu, Yen-Feng; Chuang, Shu-Chun; Hsiung, Wei-Chi; Tsai, Tsung-Lung; Liaw, Wen-Jin; Lin, I.-Ching; Shen, Shi-Chen; Juan, Chung-Chou; Lien, Li-Ming; Lee, Marion; Chen, Yii-Der Ida; Liu, Kiang; Hsiung, Chao A.",2017,10.1093/ije/dyw331,
Cohort Profile: The Manitoba Follow-up Study (MFUS).,"Tate, Robert B.; Cuddy, T. Edward; Mathewson, Francis A. L.",2015,10.1093/ije/dyu141,
Cohort Profile: The Montreal Neighbourhood Networks and Healthy Aging (MoNNET-HA) study.,"Moore, Spencer; Buckeridge, David L.; Dubé, Laurette",2016,10.1093/ije/dyu137,
Cohort Profile: The National Health and Aging Trends Study (NHATS).,"Freedman, Vicki A.; Kasper, Judith D.",2019,10.1093/ije/dyz109,
Cohort Profile: TwinsUK and healthy ageing twin study.,"Moayyeri, Alireza; Hammond, Christopher J.; Valdes, Ana M.; Spector, Timothy D.",2013,10.1093/ije/dyr207,
Community engagement and dementia risk: time-to-event analyses from a national cohort study.,"Fancourt, Daisy; Steptoe, Andrew; Cadar, Dorina",2020,10.1136/jech-2019-213029,
Community Relocation in Very Old Age: Changes in Housing Accessibility.,"Granbom, Marianne; Slaug, Björn; Löfqvist, Charlotte; Oswald, Frank; Iwarsson, Susanne",2016,10.5014/ajot.2016.016147,
Comparison of self-rated and objective successful ageing in an international cohort,"Stewart, Jocelyn M.; Auais, Mohammad; Belanger, Emmanuelle; Phillips, Susan P.",2019,10.1017/S0144686X17001489,
Comparison of three different dietary scores in relation to 10-year mortality in elderly European subjects: the HALE project.,"Knoops, K. T. B.; Groot de, L. C.; Fidanza, F.; Alberti-Fidanza, A.; Kromhout, D.; van Staveren, W. A.",2006,10.1038/sj.ejcn.1602378,
Conducting systematic researches on influencing factors for healthy ageing and promoting scientific implementation of health promotion program for the elderly.,"He, Y.",2020,10.3760/cma.j.issn.0254-6450.2020.01.003,
Consequences of loneliness on physical activity and mortality in older adults and the power of positive emotions.,"Newall, Nancy E. G.; Chipperfield, Judith G.; Bailis, Daniel S.; Stewart, Tara L.",2013,10.1037/a0029413,
Correlates of longitudinal leukocyte telomere length in the Costa Rican Longevity Study of Healthy Aging (CRELES): On the importance of DNA collection and storage  procedures.,"Rosero-Bixby, Luis; Rehkopf, David H.; Dow, William H.; Lin, Jue; Epel, Elissa S.; Azofeifa, Jorge; Leal, Alejandro",2019,10.1371/journal.pone.0223766,
Costs associated with recruitment and interviewing of study participants in a diverse population of community-dwelling older adults.,"Engstrom, Gabriella A.; Tappen, Ruth M.; Ouslander, Joseph",2014,10.1097/NNR.0000000000000008,
"Cross-sectional and longitudinal factors influencing physical activity of 65 to 75-year-olds: a pan European cohort study based on the survey of health, ageing and retirement in Europe (SHARE).","Lübs, Lena; Peplies, Jenny; Drell, Carina; Bammann, Karin",2018,10.1186/s12877-018-0781-8,
Cross-sectional and prospective relationships of interleukin-6 and C-reactive protein with physical performance in elderly persons: MacArthur studies of successful aging.,"Taaffe, Dennis R.; Harris, Tamara B.; Ferrucci, Luigi; Rowe, John; Seeman, Teresa E.; Taaffe, D R; Harris, T B; Ferrucci, L; Rowe, J; Seeman, T E",2000,10.1093/gerona/55.12.M709,
Cumulative biological risk and socio-economic differences in mortality: MacArthur studies of successful aging.,"Seeman, Teresa E.; Crimmins, Eileen; Huang, Mei-Hua; Singer, Burton; Bucur, Alexander; Gruenewald, Tara; Berkman, Lisa F.; Reuben, David B.",2004,10.1016/S0277-9536(03)00402-7,
Current status of body mass index and related influencing factors in the elderly aged 65 years and older in 8 longevity areas in China.,"Zhang, Y. J.; Lyu, Y. B.; Zhou, J. H.; Zhao, F.; Qu, Y. L.; Liu, L.; Liu, Y. C.; Wang, J. N.; Cao, Z. J.; Ruan, S. M.; Shi, X. M.",2020,10.3760/cma.j.issn.0254-6450.2020.01.006,
Cytokines are associated with longitudinal changes in cognitive performance among urban adults.,"Beydoun, May A.; Weiss, Jordan; Obhi, Hardeep K.; Beydoun, Hind A.; Dore, Gregory A.; Liang, Hailun; Evans, Michele K.; Zonderman, Alan B.",2019,10.1016/j.bbi.2019.04.027,
Dairy product consumption and its association with metabolic disturbance in a prospective study of urban adults.,"Beydoun, May A.; Fanelli-Kuczmarski, Marie T.; Beydoun, Hind A.; Dore, Greg A.; Canas, Jose A.; Evans, Michele K.; Zonderman, Alan B.",2018,10.1017/S0007114518000028,
Declining Incident Dementia Rates Across Four Population-Based Birth Cohorts.,"Sullivan, Kevin J.; Dodge, Hiroko H.; Hughes, Tiffany F.; Chang, Chung-Chou H.; Zhu, Xinmei; Liu, Anran; Ganguli, Mary",2019,10.1093/gerona/gly236,
Degree and centrality-based approaches in network-based variable selection: Insights from the Singapore Longitudinal Aging Study.,"Valenzuela, Jesus Felix Bayta; Monterola, Christopher; Tong, Victor Joo Chuan; Fülöp, Tamàs; Ng, Tze Pin; Larbi, Anis",2019,10.1371/journal.pone.0219186,
Depressive symptoms as a predictor of cognitive decline: MacArthur Studies of Successful Aging.,"Chodosh, Joshua; Kado, Deborah M.; Seeman, Teresa E.; Karlamangla, Arun S.",2007,10.1097/01.JGP.0b013e31802c0c63,
Derivation and Validation of a Severity Scoring Method for the 3-Minute Diagnostic Interview for Confusion Assessment Method--Defined Delirium.,"Vasunilashorn, Sarinnapha M.; Guess, Jamey; Ngo, Long; Fick, Donna; Jones, Richard N.; Schmitt, Eva M.; Kosar, Cyrus M.; Saczynski, Jane S.; Travison, Thomas G.; Inouye, Sharon K.; Marcantonio, Edward R.",2016,10.1111/jgs.14234,
Description and cohort characterization of the Longevity Study: learning from our elders.,"O'Connor, Kathleen; Coon, David W.; Malek-Ahmadi, Michael; Dugger, Brittany N.; Schofield, Sharon; Nieri, Walter",2016,10.1007/s40520-015-0488-z,
Detection of asymptomatic cerebral microbleeds: a comparative study at 1.5 and 3.0 T.,"Stehling, Christoph; Wersching, Heike; Kloska, Stephan P.; Kirchhof, Paulus; Ring, Janine; Nassenstein, Isabelle; Allkemper, Thomas; Knecht, Stefan; Bachmann, Rainald; Heindel, Walter",2008,10.1016/j.acra.2008.01.013,
Determinants of cardiovascular disease and other non-communicable diseases in Central and Eastern Europe: rationale and design of the HAPIEE study.,"Peasey, Anne; Bobak, Martin; Kubinova, Ruzena; Malyutina, Sofia; Pajak, Andrzej; Tamosiunas, Abdonas; Pikhart, Hynek; Nicholson, Amanda; Marmot, Michael",2006,10.1186/1471-2458-6-255,
Determinants of Health Trajectories in England and the United States: An Approach to Identify Different Patterns of Healthy Aging.,"de la Fuente, Javier; Caballero, Francisco Félix; Sánchez-Niubó, Albert; Panagiotakos, Demosthenes B.; Prina, A. Matthew; Arndt, Holger; Haro, Josep Maria; Chatterji, Somnath; Ayuso-Mateos, José Luis",2018,10.1093/gerona/gly006,
Determinants of successful aging using a multidimensional definition among Chinese elderly in Singapore.,"Ng, Tze Pin; Broekman, Birit F. P.; Niti, Matthew; Gwee, Xinyi; Kua, Ee Heok",2009,10.1097/JGP.0b013e31819a808e,
Development and Concurrent Validity of a Composite Social Isolation Index for Older Adults Using the CLSA.,"Wister, Andrew; Cosco, Theodore; Mitchell, Barbara; Menec, Verena; Fyffe, Ian",2019,10.1017/S0714980818000612,
Development of a Dynamic Multi-Protein Signature of Postoperative Delirium.,"Vasunilashorn, Sarinnapha M.; Ngo, Long H.; Chan, Noel Y.; Zhou, Wenxiao; Dillon, Simon T.; Otu, Hasan H.; Inouye, Sharon K.; Wyrobnik, Iris; Kuchel, George A.; McElhaney, Janet E.; Xie, Zhongcong; Alsop, David C.; Jones, Richard N.; Libermann, Towia A.; Marcantonio, Edward R.",2019,10.1093/gerona/gly036,
Development of a healthy ageing index in Latin American countries - a 10/66 dementia research group population-based study.,"Daskalopoulou, Christina; Chua, Kia-Chong; Koukounari, Artemis; Caballero, Francisco Félix; Prince, Martin; Prina, A. Matthew",2019,10.1186/s12874-019-0849-y,
Diabetes epidemics: inequalities increase the burden on the healthcare system.,"Santamaría-Ulloa, Carolina; Montero-López, Melina; Rosero-Bixby, Luis",2019,10.1093/heapol/czz109,
Diabetes incidence associated with depression and antidepressants in the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA),"Atlantis, Evan; Browning, Colette; Sims, Jane; Kendig, Hal",2010,10.1002/gps.2409,
Diet and Nutrition Risk Affect Mobility and General Health in Osteoarthritis: Data from the Canadian Longitudinal Study on Aging.,"Chopp-Hurley, Jaclyn N.; Wiebenga, Emily G.; Keller, Heather H.; Maly, Monica R.",2020,10.1093/gerona/glz277,
Diet Quality Is Associated With Mortality in Adults Aged 80 Years and Older: A Prospective Study.,"Liu, Yi-Hsuan; Gao, Xiang; Mitchell, Diane C.; Wood, G. Craig; Still, Christopher D.; Jensen, Gordon L.",2019,10.1111/jgs.16089,
Dietary and supplemental antioxidant intake and risk of major adverse cardiovascular events in older men: The concord health and ageing in men project.,"Das, Arpita; Cumming, Robert G.; Naganathan, Vasi; Blyth, Fiona; Le Couteur, David G.; Handelsman, David J.; Waite, Louise M.; Ribeiro, Rosilene V. R.; Simpson, Stephen J.; Hirani, Vasant",2021,10.1016/j.numecd.2020.11.032,
Dietary antioxidant intake and its association with cognitive function in an ethnically diverse sample of US adults.,"Beydoun, May A.; Fanelli-Kuczmarski, Marie T.; Kitner-Triolo, Melissa H.; Beydoun, Hind A.; Kaufman, Jay S.; Mason, Marc A.; Evans, Michele K.; Zonderman, Alan B.",2015,10.1097/PSY.0000000000000129,
Dietary Habits and Risk of Kidney Function Decline in an Urban Population.,"Liu, Yang; Kuczmarski, Marie Fanelli; Miller, Edgar R. 3rd; Nava, M. Berenice; Zonderman, Alan B.; Evans, Michele K.; Powe, Neil R.; Crews, Deidra C.",2017,10.1053/j.jrn.2016.08.007,
Dietary Magnesium and Kidney Function Decline: The Healthy Aging in Neighborhoods of Diversity across the Life Span Study.,"Rebholz, Casey M.; Tin, Adrienne; Liu, Yang; Kuczmarski, Marie Fanelli; Evans, Michele K.; Zonderman, Alan B.; Crews, Deidra C.",2016,10.1159/000450861,
Dietary Patterns Associated with Lower 10-Year Atherosclerotic Cardiovascular Disease Risk among Urban African-American and White Adults Consuming Western Diets.,"Fanelli Kuczmarski, Marie; Bodt, Barry A.; Stave Shupe, Emily; Zonderman, Alan B.; Evans, Michele K.",2018,10.3390/nu10020158,
Dietary patterns in the healthy oldest old in the healthy aging study and the Canadian longitudinal study of aging: a cohort study.,"Gu, Qianqian; Sable, Carly M.; Brooks-Wilson, Angela; Murphy, Rachel A.",2020,10.1186/s12877-020-01507-w,
Dietary Protein Intake and Overall Diet Quality Are Associated with Handgrip Strength in African American and White Adults.,"Fanelli Kuczmarski, M.; Pohlig, R. T.; Stave Shupe, E.; Zonderman, A. B.; Evans, M. K.",2018,10.1007/s12603-018-1006-8,
"Dietary quality, lifestyle factors and healthy ageing in Europe: the SENECA study.",Haveman-Nies A; de Groot LCP; van Staveren WA,2003,10.1093/ageing/32.4.427,
Dietary Sodium/Potassium Intake Does Not Affect Cognitive Function or Brain Imaging Indices.,"Nowak, Kristen L.; Fried, Linda; Jovanovich, Anna; Ix, Joachim; Yaffe, Kristine; You, Zhiying; Chonchol, Michel",2018,10.1159/000486580,
Differences in the association of cardiovascular risk factors with education: a comparison of Costa Rica (CRELES) and the USA (NHANES),Rehkopf DH; Dow WH; Rosero-Bixby L,2010,10.1136/jech.2009.086926,
Disease and weight loss: a prospective study of middle-aged and older adults in Costa Rica and England.,"Blue, Laura; Goldman, Noreen; Rosero-Bixby, Luis",2015,10.21149/spm.v57i4.7574,
Distinct Trajectories of Individual Physical Performance Measures Across 9 Years in 60- to 70-Year-Old Adults.,"Hoekstra, Trynke; Rojer, Anna Galina Maria; van Schoor, Natasja M.; Maier, Andrea Britta; Pijnappels, Mirjam",2020,10.1093/gerona/glaa045,
Do cherished children age successfully? Longitudinal findings from the Veterans Affairs Normative Aging Study.,"Lee, Lewina O.; Aldwin, Carolyn M.; Kubzansky, Laura D.; Chen, Edith; Mroczek, Daniel K.; Wang, Joyce M.; Spiro, Avron",2015,10.1037/pag0000050,
Do the effects of APOE-ε4 on cognitive function and decline depend upon vitamin status? MacArthur Studies of Successful Aging.,"Brown, B.; Huang, M. H.; Karlamangla, A.; Seeman, T.; Kado, D.",2011,10.1007/s12603-010-0277-5,
Does inflammation or undernutrition explain the low cholesterol-mortality association in high-functioning older persons? MacArthur studies of successful  aging.,"Hu, Peifeng; Seeman, Teresa E.; Harris, Tamara B.; Reuben, David B.",2003,10.1034/j.1601-5215.2002.51014.x,
Dual impairments in visual and hearing acuity and age-related cognitive decline in older adults from the Rancho Bernardo Study of Healthy Aging.,"Parada, Humberto; Laughlin, Gail A.; Yang, Mingan; Nedjat-Haiem, Frances R.; McEvoy, Linda K.",2021,10.1093/ageing/afaa285,
Early life characteristics and late life burden of cerebral small vessel disease in the Lothian Birth Cohort 1936.,"Field, Thalia S.; Doubal, Fergus N.; Johnson, Wendy; Backhouse, Ellen; McHutchison, Caroline; Cox, Simon; Corley, Janie; Pattie, Alison; Gow, Alan J.; Shenkin, Susan; Cvoro, Vera; Morris, Zoe; Staals, Julie; Bastin, Mark; Deary, Ian J.; Wardlaw, Joanna M.",2016,10.18632/aging.101043,
"Early life conditions and current health status as per the study """"""""Health, Well-being and Aging"""""""" (SABE).","Santos, Jair Licio Ferreira; Duarte, Yeda Aparecida de Oliveira; Lebrão, Maria Lúcia",2019,10.1590/1980-549720180011.supl.2,
Early socioeconomic conditions and severe tooth loss in middle-aged Costa Ricans.,"Fantin, Romain; Delpierre, Cyrille; Kelly-Irving, Michelle; Barboza Solís, Cristina",2018,10.1111/cdoe.12351,
"Early-life conditions and health at older ages: The mediating role of educational attainment, family and employment trajectories.","Arpino, Bruno; Gumà, Jordi; Julià, Albert",2018,10.1371/journal.pone.0195320,
"Early-life socioeconomic circumstances explain health differences in old age, but not their evolution over time.","Cheval, Boris; Orsholits, Dan; Sieber, Stefan; Stringhini, Silvia; Courvoisier, Delphine; Kliegel, Matthias; Boisgontier, Matthieu P.; Cullati, Stephane",2019,10.1136/jech-2019-212110,
Education and Successful Aging Trajectories: A Longitudinal Population-Based Latent Variable Modelling Analysis.,"Cosco, Theodore D.; Stephan, Blossom C. M.; Brayne, Carol; Muniz, Graciela",2017,10.1017/S0714980817000344,
Education and wealth inequalities in healthy ageing in eight harmonised cohorts in the ATHLOS consortium: a population-based study.,"Wu, Yu-Tzu; Daskalopoulou, Christina; Muniz Terrera, Graciela; Sanchez Niubo, Albert; Rodríguez-Artalejo, Fernando; Ayuso-Mateos, Jose Luis; Bobak, Martin; Caballero, Francisco Félix; de la Fuente, Javier; de la Torre-Luque, Alejandro; García-Esquinas, Esther; Haro, Jose Maria; Koskinen, Seppo; Koupil, Ilona; Leonardi, Matilde; Pajak, Andrzej; Panagiotakos, Demosthenes; Stefler, Denes; Tobias-Adamczyk, Beata; Prince, Martin; Prina, A. Matthew",2020,10.1016/S2468-2667(20)30077-3,
Effect of a 2-year diet intervention with walnuts on cognitive decline. The Walnuts And Healthy Aging (WAHA) study: a randomized controlled trial.,"Sala-Vila, Aleix; Valls-Pedret, Cinta; Rajaram, Sujatha; Coll-Padrós, Nina; Cofán, Montserrat; Serra-Mir, Mercè; Pérez-Heras, Ana M; Roth, Irene; Freitas-Simoes, Tania M; Doménech, Mónica; Calvo, Carlos; López-Illamola, Anna; Bitok, Edward; Buxton, Natalie K; Huey, Lynnley; Arechiga, Adam; Oda, Keiji; Lee, Grace J; Corella, Dolores; Vaqué-Alcázar, Lídia",2020,10.1093/ajcn/nqz328,
Effect of a Walnut Diet on Office and 24-Hour Ambulatory Blood Pressure in Elderly Individuals.,"Domènech, Mónica; Serra-Mir, Mercè; Roth, Irene; Freitas-Simoes, Tania; Valls-Pedret, Cinta; Cofán, Montserrat; López, Anna; Sala-Vila, Aleix; Calvo, Carlos; Rajaram, Sujatha; Sabaté, Joan; Ros, Emilio",2019,10.1161/HYPERTENSIONAHA.118.12766,
Effect of Early- and Adult-Life Socioeconomic Circumstances on Physical Inactivity.,"Cheval, Boris; Sieber, Stefan; Guessous, Idris; Orsholits, Dan; Courvoisier, Delphine S.; Kliegel, Matthias; Stringhini, Silvia; Swinnen, Stephan P.; Burton-Jeangros, Claudine; Cullati, Stéphane; Boisgontier, Matthieu P.",2018,10.1249/MSS.0000000000001472,
Effect of network social capital on the chances of smoking relapse: a two-year follow-up study of urban-dwelling adults.,"Moore, Spencer; Teixeira, Ana; Stewart, Steven",2014,10.2105/AJPH.2014.302239,
Effect of race and predictors of socioeconomic status on diet quality in the HANDLS Study sample.,"Raffensperger, Sarah; Kuczmarski, Marie Fanelli; Hotchkiss, Lawrence; Cotugna, Nancy; Evans, Michele K.; Zonderman, Alan B.",2010,10.1016/s0027-9684(15)30711-2,
Effects of estimated glomerular filtration rate on all-cause mortality in the elderly aged 65 years and older in 8 longevity areas in China.,"Chen, Q.; Zhao, F.; Huang, Q. M.; Lyu, Y. B.; Zhong, W. F.; Zhou, J. H.; Li, Z. H.; Qu, Y. L.; Liu, L.; Liu, Y. C.; Wang, J. N.; Cao, Z. J.; Wu, X. B.; Shi, X. M.; Mao, C.",2020,10.3760/cma.j.issn.0254-6450.2020.01.008,
Effects of oxygen saturation on all-cause mortality among the elderly over 65 years old in 9 longevity areas of China.,"Liu, D.; Zhao, F.; Huang, Q. M.; Lyu, Y. B.; Zhong, W. F.; Zhou, J. H.; Li, Z. H.; Qu, Y. L.; Liu, L.; Liu, Y. C.; Wang, J. N.; Cao, Z. J.; Wu, X. B.; Mao, C.; Shi, X. M.",2021,10.3760/cma.j.cn112150-20200630-00952,
Effects of Self-Rated Health and Self-Rated Economic Situation on Depressed Mood Via Life Satisfaction Among Older Adults in Costa Rica.,"Reyes Fernández, Benjamín; Rosero-Bixby, Luis; Koivumaa-Honkanen, Heli",2016,10.1177/0898264315589577,
Energy and protein intakes and their association with a decline in functional capacity among diabetic older adults from the NuAge cohort.,"Rahi, Berna; Morais, José A.; Gaudreau, Pierrette; Payette, Hélène; Shatenstein, Bryna",2016,10.1007/s00394-015-0991-1,
Engagement in social activities and progression from mild to severe cognitive impairment: the MYHAT study.,"Hughes, Tiffany F.; Flatt, Jason D.; Fu, Bo; Chang, Chung-Chou H.; Ganguli, Mary",2013,10.1017/S1041610212002086,
"EpiFloripa Aging cohort study: methods, operational aspects, and follow-up strategies.","Schneider, Ione Jayce Ceola; Confortin, Susana Cararo; Bernardo, Carla de Oliveira; Bolsoni, Carolina Carvalho; Antes, Danielle Ledur; Pereira, Karine Gonçalves; Ono, Lariane Mortean; Marques, Larissa Pruner; Borges, Lucélia Justino; Giehl, Maruí Weber Corseuil; Krug, Rodrigo de Rosso; Goes, Vanessa Fernanda; Boing, Alexandra Crispim; Boing, Antônio Fernando; d'Orsi, Eleonora",2017,10.11606/S1518-8787.2017051006776,
Estimating quality of life with biomarkers among older Korean adults: A machine-learning approach.,"Lee, Sung-Ha; Choi, Incheol; Ahn, Woo-Young; Shin, Enyoung; Cho, Sung-Il; Kim, Sunyoung; Oh, Bumjo",2020,10.1016/j.archger.2019.103966,
Evaluating the Factors Associated With the Completion of a Community-Based Group Exercise Program Among Older Women.,"Batra, Anamica; Coxe, Stefany; Page, Timothy F.; Melchior, Michael; Palmer, Richard C.",2016,10.1123/japa.2015-0281,
Evaluation of the Relative Validity of the Short Diet Questionnaire for Assessing Usual Consumption Frequencies of Selected Nutrients and Foods.,"Shatenstein, Bryna; Payette, Hélène",2015,10.3390/nu7085282,
"Even mealtime distribution of protein intake is associated with greater muscle strength, but not with 3-y physical function decline, in free-living older adults:  the Quebec longitudinal study on Nutrition as a Determinant of Successful Aging  (NuAge study).","Farsijani, Samaneh; Payette, Hélène; Morais, José A.; Shatenstein, Bryna; Gaudreau, Pierrette; Chevalier, Stéphanie",2017,10.3945/ajcn.116.146555,
Examining the 16-year trajectories of mental health and wellbeing through the transition into widowhood.,"Burns, R. A.; Browning, C. J.; Kendig, H. L.",2015,10.1017/S1041610215000472,
Exploring ethno-cultural variations in how older Canadians define healthy aging: The Canadian Longitudinal Study on Aging (CLSA).,"Shooshtari, Shahin; Menec, Verena; Swift, Audrey; Tate, Robert",2020,10.1016/j.jaging.2020.100834,
Exploring the acceptability and feasibility of conducting a large longitudinal population-based study in Canada.,"Kirkland, Susan A.; Raina, Parminder S.; Wolfson, Christina; Strople, Geoff; Kits, Olga; Dukeshire, Steven; Angus, Camille L.; Szala-Meneok, Karen; Uniat, Jennifer; Keshavarz, Homa; Furlini, Linda; Pelletier, Amélie",2009,10.1017/S0714980809990043,
Factors associated with ADL/IADL disability in community dwelling older adults in the Irish longitudinal study on ageing (TILDA).,"Connolly, Deirdre; Garvey, Jess; McKee, Gabrielle",2017,10.3109/09638288.2016.1161848,
Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.,"Arroyo-Quiroz, Carmen; Brunauer, Regina; Alavez, Silvestre",2020,10.1016/j.maturitas.2019.10.008,
Factors associated with symptoms of anxiety and depression in five cohorts of community-based older people: the HALCyon (Healthy Ageing across the Life Course) Programme.,"Gale, C R; Sayer, A Aihie; Cooper, C; Dennison, E M; Starr, J M; Whalley, L J; Gallacher, J E; Ben-Shlomo, Y; Kuh, D; Hardy, R; Craig, L; Deary, I J; HALCyon Study Team",2011,10.1017/S0033291711000195,
Fat mass but not fat-free mass is related to physical capacity in well-functioning older individuals: nutrition as a determinant of successful aging (NuAge)--the  Quebec Longitudinal Study.,"Bouchard, Danielle R.; Beliaeff, Serge; Dionne, Isabelle J.; Brochu, Martin",2007,10.1093/gerona/62.12.1382,
Favourable changes in economic well-being and self-rated health among the elderly.,"Brenes-Camacho, Gilbert",2011,10.1016/j.socscimed.2011.02.027,
"Feelings of Usefulness to Others, Disability, and Mortality in Older Adults: the MacArthur Study of Successful Aging.","Gruenewald, Tara L.; Karlamangla, Arun S.; Greendale, Gail A.; Singer, Burton H.; Seeman, Teresa E.",2007,10.1093/geronb/62.1.p28,
"Fibroblast Growth Factor 23 and Blood Pressure in Older Adults: The Health, Aging, and Body Composition Study.","Drew, David A.; Katz, Ronit; Kritchevsky, Stephen; Ix, Joachim H.; Shlipak, Michael G.; Newman, Anne B.; Hoofnagle, Andrew N.; Fried, Linda F.; Sarnak, Mark; Gutiérrez, Orlando M.",2020,10.1161/HYPERTENSIONAHA.120.14703,
Fibroblast Growth Factor 23: A Biomarker of Kidney Function Decline.,"Drew, David A.; Katz, Ronit; Kritchevsky, Stephen; Ix, Joachim H.; Shlipak, Michael G.; Newman, Anne B.; Hoofnagle, Andy; Fried, Linda; Sarnak, Mark J.; Gutierrez, Orlando M.",2018,10.1159/000488361,
Functional hemispheric (A)symmetries in the aged brain-Relevance for working memory,"Esteves, Madalena; Magalhaes, Ricardo; Marques, Paulo; Castanho, Teresa C.; Portugal-Nunes, Carlos; Soares, Jose M.; Almeida, Armando; Santos, Nadine C.; Sousa, Nuno; Leite-Almeida, Hugo",2018,10.3389/fnagi.2018.00058,
Gender Differences in the Association Between Leisure Activity in Adulthood and Cognitive Function in Old Age: A Prospective Longitudinal Population-Based Study.,"Hassing, Linda B",2020,10.1093/geronb/gbx170,
Gender differences in widowhood effects among community-dwelling elders by causes of death in Taiwan.,"Fang, Shao-You; Huang, Nicole; Chen, Kuang-Hung; Yeh, Hsueh-Han; Lin, Keh-Ming; Chen, Chuan-Yu",2012,10.1016/j.annepidem.2012.04.008,
