"titulo","edad_45_Carlos","edad_45_Adrian","factores_ee_Carlos","factores_ee_Adrian","reporte_rr_Carlos","reporte_rr_Adrian","reporte_or_Carlos","reporte_or_Adrian","envejecimiento_es_Carlos","envejecimiento_es_Adrian","cohorte_Carlos","cohorte_Adrian","estudio_ee_Carlos","estudio_ee_Adrian","accion_Carlos","accion_Adrian","comentario_Carlos","comentario_Adrian","accion_2_Carlos","accion_2_Adrian","agree"
"Mediterranean-Style Diet Improves Systolic Blood Pressure and Arterial Stiffness in Older Adults.",1,1,2,2,2,2,2,2,2,2,4,2,1,1,NA,2,NA,NA,0,0,"agree"
"Metabolic Syndrome and Neurocognitive Deficits in HIV Infection",1,1,2,2,2,2,2,2,2,2,5,2,1,1,NA,2,NA,"Deriva del  Multi-dimensional Successful Aging cohort study at the University of California San Diego",0,0,"agree"
"Midlife Cardiorespiratory Fitness and the Long-Term Risk of Mortality: 46 Years of Follow-Up.",1,1,2,1,2,3,2,2,2,2,3,1,2,2,NA,2,NA,NA,0,0,"agree"
"Midlife Long-Hour Working and Later-life Social Engagement Are Associated with Reduced Risks of Mild Cognitive Impairment among Community-Living Singapore Elderly.",1,1,2,2,2,2,2,1,2,2,5,2,1,1,NA,2,NA,"deriva del Diet and Healthy Aging (DaHA)",0,0,"agree"
"Mood and Personality Characteristics are Associated with Metamemory Knowledge Accuracy in a Community-Based Cohort of Older Adults.",1,1,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,NA,0,0,"agree"
"Muscle wasting in patients with chronic heart failure: results from the studies investigating co-morbidities aggravating heart failure (SICA-HF).",2,2,2,1,2,2,2,2,2,2,4,1,2,2,NA,2,NA,NA,0,0,"agree"
"Neural substrates of vulnerability to postsurgical delirium as revealed by presurgical diffusion MRI.",1,1,2,2,2,2,2,2,2,2,4,2,1,2,NA,2,NA,NA,0,0,"agree"
"Nutrient Patterns, Cognitive Function, and Decline in Older Persons: Results from the Three-City and NuAge Studies.",1,1,2,1,2,3,2,3,2,2,1,1,1,1,NA,1,NA,"Deriva del NuAge",0,0,"agree"
"Nutritional risk in community-dwelling older men: the Manitoba follow-up study.",1,1,2,1,2,2,2,1,1,2,3,1,2,1,NA,2,NA,NA,0,0,"agree"
"Older Women in Australia: Facing the Challenges of Dual Sensory Loss.",1,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,1,NA,NA,0,0,"agree"
"Optimism and Healthy Aging in Women and Men.",1,1,1,1,3,2,3,2,1,1,1,1,2,1,NA,1,NA,"USA HR",1,1,"agree"
"Orthotopic liver transplant using allografts from geriatric population in the United States: is there any age limit?",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,NA,0,0,"agree"
"Perceived Discrimination and Longitudinal Change in Kidney Function Among Urban Adults.",2,1,2,2,2,2,2,2,2,2,1,2,1,2,NA,2,NA,"Ingluye menores de 40 años, el DOI ES DE OTRO ARTÍCULO",0,0,"agree"
"Personality traits and illicit substances: the moderating role of poverty.",2,1,2,2,2,2,2,1,2,1,4,2,1,2,NA,2,NA,"ES PARTE DE UN ETUDIO MAYOR DE EE",0,0,"agree"
"Pharyngeal Area Changes in Parkinson's Disease and Its Effect on Swallowing Safety, Efficiency, and Kinematics.",2,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,NA,0,0,"agree"
"Physical activity in an air-polluted environment: behavioral, psychological and neuroimaging protocol for a prospective cohort study (Healthy Aging in Industrial  Environment study - Program 4).",2,1,2,2,2,2,2,2,2,2,2,1,1,1,NA,2,"Protocolo","INCLUYE Menores de 40 Buscar el estudio del que deriva del The Program 4 of the Healthy Aging in Industrial Environment study",0,0,"agree"
"Physical activity levels and patterns in older adults: the influence of a DVD-based exercise program.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,"intervenci�n",NA,0,0,"agree"
"Physical Activity, Sedentary Behavior, and Long-Term Changes in Aortic Stiffness: The Whitehall II Study.",1,1,2,2,2,2,2,1,2,2,1,1,1,2,NA,2,NA,"Incluye menores d 40",0,0,"agree"
"Plasma amyloid is associated with the rate of cognitive decline in cognitively normal elderly: the SCIENCe project.",1,1,2,2,2,2,2,2,2,2,3,1,2,2,NA,2,NA,NA,0,0,"agree"
"Positive Aging Expectations Are Associated With Physical Activity Among Urban-Dwelling Older Adults.",2,1,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,NA,NA,0,0,"agree"
"Positive life orientation in old age: a 15-year follow-up.",1,1,2,2,2,2,2,2,2,2,3,1,2,2,NA,1,NA,"Contiene datos similares a SOC valdría la pena checarlo",0,0,"agree"
"Predicting 3-year mortality and admission to acute-care hospitals, skilled nursing facilities, and long-term care facilities in Medicare beneficiaries.",2,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,NA,0,0,"agree"
"Prediction of Long-term Cognitive Decline Following Postoperative Delirium in Older Adults.",1,1,2,2,2,2,2,2,2,2,3,1,1,2,NA,2,NA,NA,0,0,"agree"
"Predictive Factors for Verbal Memory Performance Over Decades of Aging: Data from the Women's Healthy Ageing Project.",1,1,2,2,2,2,2,2,2,2,3,1,1,1,NA,2,NA,"Derivado del Women's Healthy Ageing Project  integrar la parte que contenga SA",0,0,"agree"
"Predictors and characteristics of successful aging among men: a 48-year longitudinal study.",1,1,1,1,3,3,3,3,1,1,3,1,2,2,NA,1,NA,NA,1,1,"agree"
"Prevalence of Mild Cognitive Impairment by Multiple Classifications: The Monongahela-Youghiogheny Healthy Aging Team (MYHAT) Project",1,1,2,2,2,3,2,3,2,2,4,2,1,1,NA,2,NA,"Deriva del Monongahela-Youghiogheny Healthy Aging Team (MYHAT)",0,0,"agree"
"Process dissociation analyses of memory changes in healthy aging, preclinical, and very mild Alzheimer disease: Evidence for isolated recollection deficits.",2,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,NA,0,0,"agree"
"Profile and determinants of successful aging in the Ibadan Study of Ageing.",1,1,1,1,2,2,1,1,1,1,2,1,1,1,NA,1,NA,NA,1,1,"agree"
"Prospective association between body mass index at midlife and healthy aging among French adults.",1,1,1,1,1,1,2,2,1,1,2,1,2,2,NA,1,NA,NA,1,1,"agree"
"Protein Intake and Disability Trajectories in Very Old Adults: The Newcastle 85+ Study.",1,1,2,2,2,2,2,1,2,2,2,1,2,2,NA,2,NA,NA,0,0,"agree"
"Psychosocioeconomic Precariousness, Cognitive Decline and Risk of Developing Dementia: A 25-Year Study.",1,1,2,2,2,2,2,2,2,2,3,1,2,2,NA,2,NA,NA,0,0,"agree"
"Quality of life among older people with a disability: the role of purpose in life and capabilities.",1,1,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,NA,NA,0,0,"agree"
"Racial/Ethnic Differences in Sleep Quality among Older Adults: Kaiser Healthy Aging and Diverse Life Experiences (KHANDLE) Study.",1,1,2,2,2,2,2,2,2,2,4,1,1,2,NA,2,NA,NA,0,0,"agree"
"Reductions in cognitive functioning are associated with decreases in satisfaction with aging. Longitudinal findings based on a nationally representative sample.",1,1,2,2,2,2,2,3,2,2,3,1,1,1,NA,2,NA,"Deriva del estudio NuAge",0,0,"agree"
"Relationship between diet quality and cognition depends on socioeconomic position in healthy older adults.",1,1,2,2,2,2,2,2,2,2,3,1,1,1,NA,2,NA,NA,0,0,"agree"
"Repeatable Battery for the Assessment of Neuropsychological Status (RBANS): Normative Data for Older Adults.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,"Psicometr�a",NA,0,0,"agree"
"Residential self-selection, perceived built environment and type 2 diabetes incidence: A longitudinal analysis of 36,224 middle to older age adults.",1,1,2,2,2,2,2,1,2,2,1,2,2,2,NA,2,NA,NA,0,0,"agree"
"Role of Physical Activity in the Relationship Between Mastery and Functional Health.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Incluye menores de 40 años",0,0,"agree"
"Running and Physical Activity in an Air-Polluted Environment: The Biomechanical and Musculoskeletal Protocol for a Prospective Cohort Study 4HAIE (Healthy Aging in  Industrial Environment-Program 4).",2,1,2,2,2,2,2,2,2,2,4,2,1,2,NA,2,"Protcoolo","deriva del Healthy aging in industrial environment study (4HAIE) Incluye menores de 40 ",0,0,"agree"
"Self-perceptions of ageing, GP visits and frequent attendance. Longitudinal findings from the German Ageing Survey.",1,1,2,2,2,1,2,1,2,2,1,2,1,1,NA,2,NA,"derivadodel  German Ageing Surve",0,0,"agree"
"Separating Symptomatic Alzheimer's Disease from Depression based on Structural MRI.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,NA,0,0,"agree"
"Serial circulating omega 3 polyunsaturated fatty acids and healthy ageing among older adults in the Cardiovascular Health Study: prospective cohort study.",1,1,1,1,3,2,3,2,1,1,2,1,2,2,NA,1,NA,"Usa HR",1,1,"agree"
"Serum 25-Hydroxyvitamin D Levels as an Aging Marker: Strong Associations With Age and All-Cause Mortality Independent From Telomere Length, Epigenetic Age  Acceleration, and 8-Isoprostane Levels.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Usa HR",0,0,"agree"
"Serum ferritin levels associated with increased risk for developing CHD in a low-income urban population.",2,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,"Incluye menores de 40",0,0,"agree"
"Serum Uric Acid and Its Association with Longitudinal Cognitive Change Among Urban Adults.",2,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,2,NA,"Incluye menores de 40 Deriva del the Healthy Aging in Neighborhoods of Diversity across the Life Span stud",0,0,"agree"
"Severe lower limb cellulitis: defining the epidemiology and risk factors for primary episodes in a population-based case-control study.",2,1,2,2,2,2,2,1,2,2,4,1,2,2,NA,2,NA,"Incluye menores de 20 años",0,0,"agree"
"Sex differences in physical performance by age, educational level, ethnic groups and birth cohort: The Longitudinal Aging Study Amsterdam.",1,1,2,2,2,2,2,1,2,2,1,1,1,2,NA,2,NA,"deriva del The Longitudinal Aging Study Amsterdam",0,0,"agree"
"Sixteen-year predictors of successful aging from a southern Brazilian cohort: The PALA study",1,1,1,1,2,2,1,1,1,1,1,1,1,2,NA,1,NA,NA,1,1,"agree"
"Social connectedness and predictors of successful ageing.",1,1,1,1,3,2,3,1,1,1,1,1,2,2,NA,1,NA,NA,1,1,"agree"
"Social desirability does not confound reports of wellbeing or of socio-demographic attributes by older women.",1,1,2,1,2,2,2,2,1,2,5,2,1,2,NA,1,"La repsuesta social deseada es confusora de componentes de EE.",NA,0,0,"agree"
"Social isolation, cognitive reserve, and cognition in healthy older people.",2,1,2,1,2,2,2,3,2,2,3,1,1,2,NA,2,NA,NA,0,0,"agree"
"Social Participation and Healthy Aging Among the Older Japanese:  The Ohsaki Cohort 2006 Study",1,1,1,1,2,2,1,1,1,1,2,1,2,1,NA,1,NA,NA,1,1,"agree"
"Sociodemographic Factors Associated With Changes in Successful Aging in Spain: A Follow-Up Study.",1,1,1,1,3,2,3,2,1,1,3,1,2,2,NA,1,NA,NA,1,1,"agree"
"Socioeconomic Differences in Trajectories of Functional Capacity Among Older Japanese: A 25-Year Longitudinal Study.",1,1,2,1,2,2,2,2,2,2,1,1,2,2,NA,1,NA,NA,0,0,"agree"
"Socioeconomic inequalities in a 16-year longitudinal measurement of successful ageing.",1,1,1,1,3,2,3,1,1,1,1,1,1,2,NA,1,"Indice de EE",NA,1,1,"agree"
"Socioeconomic position and quality of life among older people: The mediating role of social support.",2,1,2,2,2,2,2,1,2,2,2,2,2,2,NA,2,NA,NA,0,0,"agree"
"Sodium intake of special populations in the Healthy Aging in Neighborhoods of Diversity Across the Life Span (HANDLS) study.",2,1,2,2,2,2,2,2,2,2,3,1,1,2,NA,2,NA,"incluye menores de 40",0,0,"agree"
"STING SNP R293Q Is Associated with a Decreased Risk of Aging-Related Diseases.",1,1,2,2,2,2,2,1,2,2,2,2,2,2,NA,2,NA,NA,0,0,"agree"
"Successful Aging as the Intersection of Individual Resources, Age, Environment, and Experiences of Well-being in Daily Activities.",1,1,1,1,3,3,3,3,1,1,3,1,2,2,NA,1,"Indice de EE",NA,1,1,"agree"
"Successful aging in the Australian Longitudinal Study of Aging: Applying the MacArthur model cross-nationally",1,1,1,1,3,2,3,1,1,1,1,1,1,2,3,1,NA,NA,1,1,"agree"
"Successful aging.",1,1,1,1,3,2,3,1,1,1,3,2,2,2,NA,1,NA,NA,1,1,"agree"
"Successful aging: effect of subclinical cardiovascular disease.",1,1,1,1,3,1,3,2,1,1,1,1,2,2,NA,1,NA,NA,1,1,"agree"
"Successfully aging predicts successful aging in successful agers: Further definitional issues",2,2,2,1,2,2,2,2,2,2,4,2,2,2,NA,2,"Comentario","Es una revisión",0,0,"agree"
"Temporal Dynamics of Motor Functioning and Cognitive Aging.",1,1,2,2,2,2,2,2,2,2,1,1,1,2,NA,2,NA,"deriva the Swedish Adoption/Twin Study of Aging",0,0,"agree"
"Temporal trends in impairments of physical function among older adults during 2001-16 in Sweden: towards a healthier ageing.",1,1,2,2,2,2,2,2,2,2,3,1,2,2,NA,2,NA,NA,0,0,"agree"
"Test-retest reliability and longitudinal analysis of automated hippocampal subregion volumes in healthy ageing and Alzheimer's disease populations.",1,1,2,2,2,2,2,2,2,2,4,1,2,2,NA,2,NA,NA,0,0,"agree"
"The challenge of maintaining successful aging at 87 years old: the Octabaix study two-year follow-up.",1,1,1,1,2,2,1,1,1,1,3,1,2,2,NA,1,NA,NA,1,1,"agree"
"The Combination of Healthy Diet and Healthy Body Weight Is Associated with Lower Risk of Nuclear Cataract in the Blue Mountains Eye Study.",1,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,NA,"Dieta y cataratas",0,0,"agree"
"The effect of age and gender on anti-saccade performance: Results from a large cohort of healthy aging individuals",1,1,2,2,2,2,2,2,1,2,4,2,2,2,NA,2,NA,"Movimientos oculares",0,0,"agree"
"The effect of trends in health and longevity on health services use by older adults.",2,1,2,1,2,2,2,2,2,2,1,1,2,1,NA,1,NA,NA,0,0,"agree"
"The nature and cross-domain correlates of subjective age in the oldest old: Evidence from the OCTO Study.",1,1,2,2,2,2,2,1,2,2,4,1,2,2,NA,1,NA,"Menciona factores de envejecimiento exitoso pero no lo nombra como tal",0,0,"agree"
"The role of income and occupation in the association of education with healthy aging: results from a population-based, prospective cohort study.",1,1,1,1,3,2,3,1,1,1,2,1,2,2,NA,1,NA,NA,1,1,"agree"
"The Swedish Aging With Spinal Cord Injury Study (SASCIS): Methodology and Initial Results.",1,1,2,1,2,2,2,2,2,2,4,2,1,2,NA,2,"Metodolog�a de proyecto","Menciona factores que están dentro del concepto de SA pero no lo establece como tal en personas con daño de espina dorsal. Considerar incluirlo",0,0,"agree"
"The trajectory of negative mood and depressive symptoms over two decades.",1,1,2,2,2,2,2,2,2,2,1,1,1,2,NA,2,NA,"Menciona factores que están dentro del concepto de SA pero no lo establece como tal en personas con daño de espina dorsal. Considerar incluirlo",0,0,"agree"
"The UK Adult Twin Registry (TwinsUK Resource).",1,1,2,2,2,2,2,2,2,NA,1,1,1,2,NA,2,"Review de proyecto","Es una valoración genética de envejecimiento Incluye evade de 18 años y 103 años",0,0,"agree"
"Trajectories of Accumulation of Health Deficits in Older Adults: Are There Variations According to Health Domains?",1,1,2,2,2,3,2,3,2,2,1,1,2,2,NA,2,NA,NA,0,0,"agree"
"Trajectories of function and biomarkers with age: the CHS All Stars Study.",1,1,2,2,2,2,2,2,2,2,1,1,1,2,NA,2,NA,"Estudia sólo biomarcadores",0,0,"agree"
"Trajectories of irregular word reading ability as a proxy for premorbid intelligence in Alzheimer's disease, mild cognitive impairment, and healthy aging: A longitudinal  study.",1,1,2,2,2,2,2,2,2,2,3,1,2,2,NA,2,NA,"Solo nombra HA pero no los componentes",0,0,"agree"
"Transitioning From Successful Aging: A Life Course Approach.",1,1,1,1,3,2,3,1,1,1,1,1,2,1,3,1,NA,"Deriva del Health Retirement Study",1,1,"agree"
"Trends in food consumption over 30 years: evidence from a British birth cohort.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Estudia los patrones de consumo de adultos mayores",0,0,"agree"
"Twelve-Month Retention in and Impact of Enhance®Fitness on Older Adults in Hawai'i.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,"Intervenci�n","Estudia el impacto de la actividad física en adultos mayores",0,0,"agree"
"Variants of asthma and chronic obstructive pulmonary disease genes and lung function decline in aging.",2,1,2,2,2,2,2,2,2,2,2,1,2,2,NA,2,NA,"Estudia la relacion de un polmorfismo en asmáticos adultos mayores",0,0,"agree"
"Vitamin C Status Correlates with Markers of Metabolic and Cognitive Health in 50-Year-Olds: Findings of the CHALICE Cohort Study.",1,1,2,2,2,2,2,2,2,2,4,1,2,2,NA,2,NA,"sólo estudia el efecto de la Vitamina C en los adultos mayores",0,0,"agree"
"Vitamin D Status and Intakes and Their Association With Cognitive Trajectory in a Longitudinal Study of Urban Adults.",2,1,2,2,2,2,2,2,2,2,1,1,1,2,NA,2,NA,"Derivado del the Healthy Aging in Neighborhoods",0,0,"agree"
"Water-loss (intracellular) dehydration assessed using urinary tests: how well do they work? Diagnostic accuracy in older people.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,"Derivado del NuAge es solo un aspecto clínico no enfocado a los factores de SA",0,0,"agree"
"What factors influence healthy aging? A person-centered approach among older adults in Taiwan.",1,1,1,1,3,2,3,2,1,1,1,1,1,1,NA,1,NA,"Derivado del Taiwan Longitudinal Study of Aging",1,1,"agree"
"What it's like to grow older: the aging perceptions of people with an intellectual disability in Ireland.",2,2,2,2,2,2,2,2,2,2,4,2,1,1,NA,2,NA,"Estudio transversal anidado en el Irish Longitudinal Study on Aging",0,0,"agree"
"Why and when social support predicts older adults' pain-related disability: a longitudinal study.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Manuscrito aceptado sobre el dolor y la calidad de vida en ancianos",0,0,"agree"
"Working conditions mediate the association between social class and physical function in older age in Sweden: a prospective cohort study.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Incluye menores de 40",0,0,"agree"
