Title,Author,Publication Year,DOI,Publication Title
Educational differences in trajectories and determinants of healthy ageing in midlife and older Americans.,"McLaughlin, Sara J.; Kim, Seonjin; Li, Lydia W.; Zhang, Jiaan",2020,10.1016/j.maturitas.2020.01.002,Maturitas
Education and Successful Aging Trajectories: A Longitudinal Population-Based Latent Variable Modelling Analysis.,"Cosco, Theodore D.; Stephan, Blossom C. M.; Brayne, Carol; Muniz, Graciela",2017,10.1017/S0714980817000344,Canadian journal on aging = La revue canadienne du vieillissement
Education and process change to improve skin health in a residential aged care facility.,"Price, Kay; Kennedy, Kate J; Rando, Tabatha L; Dyer, Anthony R; Boylan, Jo",2017,10.1111/iwj.12772,International Wound Journal
Dynamic links between memory and functional limitations in old age: longitudinal evidence for age-based structural dynamics from the AHEAD study.,"Infurna, Frank J.; Gerstorf, Denis; Ryan, Lindsay H.; Smith, Jacqui",2011,10.1037/a0023023,Psychology and aging
Dual impairments in visual and hearing acuity and age-related cognitive decline in older adults from the Rancho Bernardo Study of Healthy Aging.,"Parada, Humberto; Laughlin, Gail A.; Yang, Mingan; Nedjat-Haiem, Frances R.; McEvoy, Linda K.",2021,10.1093/ageing/afaa285,Age and ageing
Does overall diet in midlife predict future aging phenotypes? A cohort study.,"Akbaraly, Tasnime; Sabia, Séverine; Hagger-Johnson, Gareth; Tabak, Adam G.; Shipley, Martin J.; Jokela, Markus; Brunner, Eric J.; Hamer, Mark; Batty, G. David; Singh-Manoux, Archana; Kivimaki, Mika",2013,10.1016/j.amjmed.2012.10.028,The American journal of medicine
Does inflammation or undernutrition explain the low cholesterol-mortality association in high-functioning older persons? MacArthur studies of successful  aging.,"Hu, Peifeng; Seeman, Teresa E.; Harris, Tamara B.; Reuben, David B.",2003,10.1034/j.1601-5215.2002.51014.x,Journal of the American Geriatrics Society
Does flexible goal adjustment predict life satisfaction in older adults? A six-year longitudinal study.,"Bailly, Nathalie; Gana, Kamel; Hervé, Catherine; Joulain, Michèle; Alaphilippe, Daniel",2014,10.1080/13607863.2013.875121,Aging & Mental Health
Do the effects of APOE-ε4 on cognitive function and decline depend upon vitamin status? MacArthur Studies of Successful Aging.,"Brown, B.; Huang, M. H.; Karlamangla, A.; Seeman, T.; Kado, D.",2011,10.1007/s12603-010-0277-5,"The journal of nutrition, health & aging"
Do cherished children age successfully? Longitudinal findings from the Veterans Affairs Normative Aging Study.,"Lee, Lewina O.; Aldwin, Carolyn M.; Kubzansky, Laura D.; Chen, Edith; Mroczek, Daniel K.; Wang, Joyce M.; Spiro, Avron",2015,10.1037/pag0000050,Psychology and aging
Dissociating Effects of Global SWS Disruption and Healthy Aging on Waking Performance and Daytime Sleepiness.,"Groeger, John A.; Stanley, Neil; Deacon, Stephen; Dijk, Derk-Jan",2014,10.5665/sleep.3776,Sleep
Dispositional optimism and loneliness in older men.,"Rius-Ottenheim, Nathaly; Kromhout, Daan; van der Mast, Roos C.; Zitman, Frans G.; Geleijnse, Johanna M.; Giltay, Erik J.",2012,10.1002/gps.2701,International Journal of Geriatric Psychiatry
Different associations of routine work time with exercise behavior and objectively measured physical activity among middle-aged and older adults: a daily and longitudinal analysis.,"Harada, Kazuhiro; Masumoto, Kouhei; Kondo, Narihiko",2020,10.1007/s10865-019-00051-2,Journal of Behavioral Medicine
Differences in the association of cardiovascular risk factors with education: a comparison of Costa Rica (CRELES) and the USA (NHANES),Rehkopf DH; Dow WH; Rosero-Bixby L,2010,10.1136/jech.2009.086926,Journal of Epidemiology & Community Health
Dietary scores at midlife and healthy ageing in a French prospective cohort.,"Assmann, Karen E.; Andreeva, Valentina A.; Camilleri, Géraldine M.; Verger, Eric O.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2016,10.1017/S0007114516002233,The British journal of nutrition
"Dietary quality, lifestyle factors and healthy ageing in Europe: the SENECA study.",Haveman-Nies A; de Groot LCP; van Staveren WA,2003,10.1093/ageing/32.4.427,Age & Ageing
Dietary Protein Intake and Overall Diet Quality Are Associated with Handgrip Strength in African American and White Adults.,"Fanelli Kuczmarski, M.; Pohlig, R. T.; Stave Shupe, E.; Zonderman, A. B.; Evans, M. K.",2018,10.1007/s12603-018-1006-8,"Journal of Nutrition, Health & Aging"
Dietary patterns in the healthy oldest old in the healthy aging study and the Canadian longitudinal study of aging: a cohort study.,"Gu, Qianqian; Sable, Carly M.; Brooks-Wilson, Angela; Murphy, Rachel A.",2020,10.1186/s12877-020-01507-w,BMC geriatrics
Dietary patterns as predictors of successful ageing.,"Hodge, A. M.; O'Dea, K.; English, D. R.; Giles, G. G.; Flicker, L.",2014,10.1007/s12603-013-0405-0,"Journal of Nutrition, Health & Aging"
Dietary patterns and intrinsic capacity among community-dwelling older adults: a 3-year prospective cohort study.,"Huang, Chi Hsien; Okada, Kiwako; Matsushita, Eiji; Uno, Chiharu; Satake, Shosuke; Martins, Beatriz Arakawa; Kuzuya, Masafumi",2021,10.1007/s00394-021-02505-3,European Journal of Nutrition
"Dietary n-3 polyunsaturated fatty acids, fish intake and healthy ageing.","García-Esquinas, Esther; Ortolá, Rosario; Banegas, Jose Ramón; Lopez-García, Esther; Rodríguez-Artalejo, Fernando",2019,10.1093/ije/dyz196,International Journal of Epidemiology
Dietary Magnesium and Kidney Function Decline: The Healthy Aging in Neighborhoods of Diversity across the Life Span Study.,"Rebholz, Casey M.; Tin, Adrienne; Liu, Yang; Kuczmarski, Marie Fanelli; Evans, Michele K.; Zonderman, Alan B.; Crews, Deidra C.",2016,10.1159/000450861,American Journal of Nephrology
Dietary flavonoid intake at midlife and healthy aging in women.,"Samieri, Cécilia; Sun, Qi; Townsend, Mary K.; Rimm, Eric B.; Grodstein, Francine",2014,10.3945/ajcn.114.085605,The American journal of clinical nutrition
Dietary Diversity and Healthy Aging: A Prospective Study.,"Zhang, Jian; Zhao, Ai",2021,10.3390/nu13061787,Nutrients
Diet Quality Is Associated With Mortality in Adults Aged 80 Years and Older: A Prospective Study.,"Liu, Yi-Hsuan; Gao, Xiang; Mitchell, Diane C.; Wood, G. Craig; Still, Christopher D.; Jensen, Gordon L.",2019,10.1111/jgs.16089,Journal of the American Geriatrics Society
Diabetes incidence associated with depression and antidepressants in the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA),"Atlantis, Evan; Browning, Colette; Sims, Jane; Kendig, Hal",2010,10.1002/gps.2409,Journal of Geriatric Psychiatry
Diabetes epidemics: inequalities increase the burden on the healthcare system.,"Santamaría-Ulloa, Carolina; Montero-López, Melina; Rosero-Bixby, Luis",2019,10.1093/heapol/czz109,Health Policy & Planning
Diabetes and ageing in the Melbourne Collaborative Cohort Study (MCCS).,"Hodge, Allison M.; Flicker, Leon; O'Dea, Kerin; English, Dallas R.; Giles, Graham G.",2013,10.1016/j.diabres.2013.03.024,Diabetes Research & Clinical Practice
Development of a Healthy Aging Score in the Population-Based Rotterdam Study: Evaluating Age and Sex Differences.,"Jaspers, Loes; Schoufour, Josje D.; Erler, Nicole S.; Darweesh, Sirwan K. L.; Portegies, Marileen L. P.; Sedaghat, Sanaz; Lahousse, Lies; Brusselle, Guy G.; Stricker, Bruno H.; Tiemeier, Henning; Ikram, M. Arfan; Laven, Joop S. E.; Franco, Oscar H.; Kavousi, Maryam",2017,10.1016/j.jamda.2016.11.021,Journal of the American Medical Directors Association
Development of a healthy ageing index in Latin American countries - a 10/66 dementia research group population-based study.,"Daskalopoulou, Christina; Chua, Kia-Chong; Koukounari, Artemis; Caballero, Francisco Félix; Prince, Martin; Prina, A. Matthew",2019,10.1186/s12874-019-0849-y,BMC medical research methodology
Development of a Dynamic Multi-Protein Signature of Postoperative Delirium.,"Vasunilashorn, Sarinnapha M.; Ngo, Long H.; Chan, Noel Y.; Zhou, Wenxiao; Dillon, Simon T.; Otu, Hasan H.; Inouye, Sharon K.; Wyrobnik, Iris; Kuchel, George A.; McElhaney, Janet E.; Xie, Zhongcong; Alsop, David C.; Jones, Richard N.; Libermann, Towia A.; Marcantonio, Edward R.",2019,10.1093/gerona/gly036,Journals of Gerontology Series A: Biological Sciences & Medical Sciences
Development and Concurrent Validity of a Composite Social Isolation Index for Older Adults Using the CLSA.,"Wister, Andrew; Cosco, Theodore; Mitchell, Barbara; Menec, Verena; Fyffe, Ian",2019,10.1017/S0714980818000612,Canadian Journal on Aging
Determinants of successful aging using a multidimensional definition among Chinese elderly in Singapore.,"Ng, Tze Pin; Broekman, Birit F. P.; Niti, Matthew; Gwee, Xinyi; Kua, Ee Heok",2009,10.1097/JGP.0b013e31819a808e,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
Determinants of influenza vaccination in older adults: A nationwide community-based study in Taiwan.,"Chen, Chang-Hua; Wu, Ming-Shiang; Hsu, Wen-Yu; Chen, Yu-Min; Hsu, Chih-Cheng; Hsiung, Chao A.; Wu, I.-Chien",2017,10.1111/ggi.13088,Geriatrics & Gerontology International
Determinants of Health Trajectories in England and the United States: An Approach to Identify Different Patterns of Healthy Aging.,"de la Fuente, Javier; Caballero, Francisco Félix; Sánchez-Niubó, Albert; Panagiotakos, Demosthenes B.; Prina, A. Matthew; Arndt, Holger; Haro, Josep Maria; Chatterji, Somnath; Ayuso-Mateos, José Luis",2018,10.1093/gerona/gly006,Journals of Gerontology Series A: Biological Sciences & Medical Sciences
Description and cohort characterization of the Longevity Study: learning from our elders.,"O'Connor, Kathleen; Coon, David W.; Malek-Ahmadi, Michael; Dugger, Brittany N.; Schofield, Sharon; Nieri, Walter",2016,10.1007/s40520-015-0488-z,Aging Clinical & Experimental Research
Depressive symptoms in late life and cerebrovascular disease: the importance of intelligence and lesion location.,"Murray, Alison D.; Staff, Roger T.; McNeil, Christopher J.; Salarirad, Sima; Phillips, Louise H.; Starr, John; Deary, Ian J.; Whalley, Lawrence J.",2013,10.1002/da.22022,Depression and anxiety
Depression and aging with HIV: Associations with health-related quality of life and positive psychological factors.,"Rooney, Alexandra S.; Moore, Raeanne C.; Paolillo, Emily W.; Gouaux, Ben; Umlauf, Anya; Letendre, Scott L.; Jeste, Dilip V.; Moore, David J.",2019,10.1016/j.jad.2019.03.025,Journal of affective disorders
Delirium Severity Post-Surgery and its Relationship with Long-Term Cognitive Decline in a Cohort of Patients without Dementia.,"Vasunilashorn, Sarinnapha M.; Fong, Tamara G.; Albuquerque, Asha; Marcantonio, Edward R.; Schmitt, Eva M.; Tommet, Douglas; Gou, Yun; Travison, Thomas G.; Jones, Richard N.; Inouye, Sharon K.",2018,10.3233/JAD-170288,Journal of Alzheimer's Disease
Declining Incident Dementia Rates Across Four Population-Based Birth Cohorts.,"Sullivan, Kevin J.; Dodge, Hiroko H.; Hughes, Tiffany F.; Chang, Chung-Chou H.; Zhu, Xinmei; Liu, Anran; Ganguli, Mary",2019,10.1093/gerona/gly236,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Daytime napping and successful aging among older adults in China: a cross-sectional study.,"Xin, Chunyu; Zhang, Baiyang; Fang, Shu; Zhou, Junmin",2020,10.1186/s12877-019-1408-4,BMC Geriatrics
"Daily steps and diet, but not sleep, are related to mortality in older Australians.","Oftedal, Stina; Holliday, Elizabeth G.; Attia, John; Brown, Wendy J.; Collins, Clare E.; Ewald, Benjamin; Glozier, Nicholas; McEvoy, Mark; Morgan, Philip J.; Plotnikoff, Ronald C.; Stamatakis, Emmanuel; Vandelanotte, Corneel; Duncan, Mitch J.",2020,10.1016/j.jsams.2019.09.018,Journal of Science & Medicine in Sport
Cytokines and Postoperative Delirium in Older Patients Undergoing Major Elective Surgery.,"Vasunilashorn, Sarinnapha M.; Ngo, Long; Inouye, Sharon K.; Libermann, Towia A.; Jones, Richard N.; Alsop, David C.; Guess, Jamey; Jastrzebski, Sandra; McElhaney, Janet E.; Kuchel, George A.; Marcantonio, Edward R.",2015,10.1093/gerona/glv083,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Cumulative biological risk and socio-economic differences in mortality: MacArthur studies of successful aging.,"Seeman, Teresa E.; Crimmins, Eileen; Huang, Mei-Hua; Singer, Burton; Bucur, Alexander; Gruenewald, Tara; Berkman, Lisa F.; Reuben, David B.",2004,10.1016/S0277-9536(03)00402-7,Social science & medicine (1982)
Cross-sectional and prospective relationships of interleukin-6 and C-reactive protein with physical performance in elderly persons: MacArthur studies of successful aging.,"Taaffe, Dennis R.; Harris, Tamara B.; Ferrucci, Luigi; Rowe, John; Seeman, Teresa E.; Taaffe, D R; Harris, T B; Ferrucci, L; Rowe, J; Seeman, T E",2000,10.1093/gerona/55.12.M709,Journals of Gerontology Series A: Biological Sciences & Medical Sciences
"Cross-sectional and longitudinal factors influencing physical activity of 65 to 75-year-olds: a pan European cohort study based on the survey of health, ageing and retirement in Europe (SHARE).","Lübs, Lena; Peplies, Jenny; Drell, Carina; Bammann, Karin",2018,10.1186/s12877-018-0781-8,BMC Geriatrics
COSMIC (Cohort Studies of Memory in an International Consortium): an international consortium to identify risk and protective factors and biomarkers of cognitive  ageing and dementia in diverse ethnic and sociocultural groups.,"Sachdev, Perminder S.; Lipnicki, Darren M.; Kochan, Nicole A.; Crawford, John D.; Rockwood, Kenneth; Xiao, Shifu; Li, Juan; Li, Xia; Brayne, Carol; Matthews, Fiona E.; Stephan, Blossom C. M.; Lipton, Richard B.; Katz, Mindy J.; Ritchie, Karen; Carrière, Isabelle; Ancelin, Marie-Laure; Seshadri, Sudha; Au, Rhoda; Beiser, Alexa S.; Lam, Linda C. W.; Wong, Candy H. Y.; Fung, Ada W. T.; Kim, Ki Woong; Han, Ji Won; Kim, Tae Hui; Petersen, Ronald C.; Roberts, Rosebud O.; Mielke, Michelle M.; Ganguli, Mary; Dodge, Hiroko H.; Hughes, Tiffany; Anstey, Kaarin J.; Cherbuin, Nicolas; Butterworth, Peter; Ng, Tze Pin; Gao, Qi; Reppermund, Simone; Brodaty, Henry; Meguro, Kenichi; Schupf, Nicole; Manly, Jennifer; Stern, Yaakov; Lobo, Antonio; Lopez-Anton, Raúl; Santabárbara, Javier",2013,10.1186/1471-2377-13-165,BMC neurology
Cortical gray matter atrophy in healthy aging cannot be explained by undetected incipient cognitive disorders: a comment on Burgmans et al. (2009),Fjell AM; Westlye LT; Espeseth T; Reinvang I; Dale AM; Holland D; Walhovd KB,2010,10.1037/a0018827,Neuropsychology
Contribution of education to health and life satisfaction in older adults mediated by negative affect.,Meeks S; Murrell SA,2001,10.1177/089826430101300105,Journal of Aging & Health
Consumption of Oleic Acid on the Preservation of Cognitive Functions in Japanese Elderly Individuals.,"Sakurai, Keisuke; Shen, Chutong; Shiraishi, Izumi; Inamura, Noriko; Hisatsune, Tatsuhiro; Kindy, Mark",2021,10.3390/nu13020284,Nutrients
Construct Validation of Three Nutrition Questions Using Health and Diet Ratings in Older Canadian Males Living in the Community.,"Akhtar, Usman; Keller, Heather H.; Tate, Robert B.; Lengyel, Christina O.",2015,10.3148/cjdpr-2015-025,Canadian Journal of Dietetic Practice & Research
Consequences of loneliness on physical activity and mortality in older adults and the power of positive emotions.,"Newall, Nancy E. G.; Chipperfield, Judith G.; Bailis, Daniel S.; Stewart, Tara L.",2013,10.1037/a0029413,Health Psychology
Comparison of three different dietary scores in relation to 10-year mortality in elderly European subjects: the HALE project.,"Knoops, K. T. B.; Groot de, L. C.; Fidanza, F.; Alberti-Fidanza, A.; Kromhout, D.; van Staveren, W. A.",2006,10.1038/sj.ejcn.1602378,European journal of clinical nutrition
Comparison of functional fitness in elderlies with reference values by Rikli and Jones and after one-year of health intervention programs.,"Lobo, A.; Carvalho, J.; Santos, P.",2011,"",Journal of Sports Medicine & Physical Fitness
Cohort Profile: TwinsUK and healthy ageing twin study.,"Moayyeri, Alireza; Hammond, Christopher J.; Valdes, Ana M.; Spector, Timothy D.",2013,10.1093/ije/dyr207,International journal of epidemiology
Cohort Profile: The Montreal Neighbourhood Networks and Healthy Aging (MoNNET-HA) study.,"Moore, Spencer; Buckeridge, David L.; Dubé, Laurette",2016,10.1093/ije/dyu137,International Journal of Epidemiology
Cohort Profile: The Manitoba Follow-up Study (MFUS).,"Tate, Robert B.; Cuddy, T. Edward; Mathewson, Francis A. L.",2015,10.1093/ije/dyu141,International journal of epidemiology
Cohort Profile: The DynaHEALTH consortium - a European consortium for a life-course bio-psychosocial model of healthy ageing of glucose homeostasis.,"Sebert, Sylvain; Lowry, Estelle; Aumüller, Nicole; Bermúdez, Mercedes G.; Bjerregaard, Lise G.; de Rooij, Susanne R.; De Silva, Maneka; El Marroun, Hanan; Hummel, Nadine; Juola, Teija; Mason, Giacomo; Much, Daniela; Oliveros, Elena; Poupakis, Stavros; Rautio, Nina; Schwarzfischer, Phillipp; Tzala, Evangelia; Uhl, Olaf; van de Beek, Cornelieke; Vehmeijer, Florianne; Verdejo-Román, Juan; Wasenius, Niko; Webster, Claire; Ala-Mursula, Leena; Herzig, Karl-Heinz; Keinänen-Kiukaanniemi, Sirkka; Miettunen, Jouko; Baker, Jennifer L.; Campoy, Cristina; Conti, Gabriella; Eriksson, Johan G.; Hummel, Sandra; Jaddoe, Vincent; Koletzko, Berthold; Lewin, Alex; Rodriguez-Palermo, Maria; Roseboom, Tessa; Rueda, Ricardo; Evans, Jayne; Felix, Janine F.; Prokopenko, Inga; Sørensen, Thorkild I. A.; Järvelin, Marjo-Riitta",2019,10.1093/ije/dyz056,International journal of epidemiology
"Cohort Profile: LifeLines, a three-generation cohort study and biobank.","Scholtens, Salome; Smidt, Nynke; Swertz, Morris A.; Bakker, Stephan J. L.; Dotinga, Aafje; Vonk, Judith M.; van Dijk, Freerk; van Zon, Sander K. R.; Wijmenga, Cisca; Wolffenbuttel, Bruce H. R.; Stolk, Ronald P.",2015,10.1093/ije/dyu229,International journal of epidemiology
Cognitive decline in high-functioning older persons is associated with an increased risk of hospitalization.,"Chodosh, Joshua; Seeman, Teresa E.; Keeler, Emmett; Sewall, Ase; Hirsch, Susan H.; Guralnik, Jack M.; Reuben, David B.",2004,10.1111/j.1532-5415.2004.52407.x,Journal of the American Geriatrics Society
CLINICAL ROUNDS. Bundle four good habits to age 'successfully'.,"",2013,10.1097/01.NURSE.0000425869.72572.03,Nursing
"Cigarette Smokers, Never-Smokers, and Transitions: Implications for Successful Aging.","Pruchno, Rachel; Hahn, Sarah; Wilson-Genderson, Maureen",2012,10.2190/AG.74.3.b,International Journal of Aging & Human Development
Chronic inflammation as a determinant of future aging phenotypes.,"Akbaraly, Tasnime N.; Hamer, Mark; Ferrie, Jane E.; Lowe, Gordon; Batty, G. David; Hagger-Johnson, Gareth; Singh-Manoux, Archana; Shipley, Martin J.; Kivimäki, Mika",2013,10.1503/cmaj.122072,CMAJ: Canadian Medical Association Journal
"Childhood adversity, midlife generativity, and later life well-being.","Landes, Scott D.; Ardelt, Monika; Vaillant, George E.; Waldinger, Robert J.",2014,10.1093/geronb/gbu055,Journals of Gerontology Series B: Psychological Sciences & Social Sciences
Chicago Healthy Aging Study: Objectives and Design.,"Pirzada, Amber; Reid, Kathryn; Kim, Daniel; Garside, Daniel B.; Lu, Brandon; Vu, Thanh-Huyen T.; Lloyd-Jones, Donald M.; Zee, Phyllis; Liu, Kiang; Stamler, Jeremiah; Daviglus, Martha L.",2013,10.1093/aje/kwt020,American Journal of Epidemiology
Changing the balance of social care for older people: simulating scenarios under demographic ageing in New Zealand.,"Lay‐Yee, Roy; Pearson, Janet; Davis, Peter; Randow, Martin; Kerse, Ngaire; Brown, Laurie",2017,10.1111/hsc.12394,Health & Social Care in the Community
Changes in Brain Volume Associated With Vegetable Intake in a General Population.,"Lee, Sunghee; Kim, Eun Young; Shin, Chol",2019,10.1080/07315724.2018.1563002,Journal of the American College of Nutrition
Change in Engagement in Cognitive Activity and Risk for Mild Cognitive Impairment in a Cohort of Older Adults: The Monongahela-Youghiogheny Healthy Aging Team (MYHAT)  Study.,"Hughes, Tiffany F.; Sun, Zhaowen; Chang, Chung-Chou H.; Ganguli, Mary",2018,10.1097/WAD.0000000000000214,Alzheimer disease and associated disorders
Centenarians Overexpress Pluripotency-Related Genes.,"Inglés, Marta; Mas-Bargues, Cristina; Berna-Erro, Alejandro; Matheu, Ander; Sanchís, Paula; Avellana, Juan-Antonio; Borrás, Consuelo; Viña, José",2019,10.1093/gerona/gly168,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Centenarian offspring: start healthier and stay healthier.,"Adams, Emily R.; Nolan, Vikki G.; Andersen, Stacy L.; Perls, Thomas T.; Terry, Dellara F.",2008,10.1111/j.1532-5415.2008.01949.x,Journal of the American Geriatrics Society
Causes of Mortality in Older People With Intellectual Disability: Results From the HA-ID Study.,"Oppewal, Alyt; Schoufour, Josje D.; van der Maarl, Hanne J. K.; Evenhuis, Heleen M.; Hilgenkamp, Thessa I. M.; Festen, Dederieke A.",2018,10.1352/1944-7558-123.1.61,American journal on intellectual and developmental disabilities
Cardiovascular disease and death associated with depression and antidepressants in the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).,"Atlantis, Evan; Grayson, Dave A.; Browning, Colette; Sims, Jane; Kendig, Hal",2011,10.1002/gps.2532,International Journal of Geriatric Psychiatry
Capturing the Diversity of Successful Aging: An Operational Definition Based on 16-Year Trajectories of Functioning.,"Kok, Almar A. L.; Aartsen, Marja J.; Deeg, Dorly J. H.; Huisman, Martijn",2017,10.1093/geront/gnv127,The Gerontologist
Buffer or amplifier? Longitudinal effects of social support for functional autonomy/dependence on older adults' chronic pain experiences.,"Matos, Marta; Bernardes, Sónia F.; Goubert, Liesbet; Beyers, Wim",2017,10.1037/hea0000512,Health Psychology
Body-Mind-Spirit Practice for Healthy Aging.,"Lee, Eun-Kyoung Othelia; Yoon, Hyunsook; Lee, Jungui; Yoon, Jiyoung; Chang, Eunjin",2012,10.1080/03601277.2011.567182,Educational Gerontology
Body mass index and unintentional weight change associated with all-cause mortality in older Australians: the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).,"Atlantis, Evan; Browning, Colette; Kendig, Hal",2010,10.1093/ageing/afq073,Age & Ageing
Biomarker clusters are differentially associated with longitudinal cognitive decline in late midlife.,"Racine, Annie M.; Koscik, Rebecca L.; Berman, Sara E.; Nicholas, Christopher R.; Clark, Lindsay R.; Okonkwo, Ozioma C.; Rowley, Howard A.; Asthana, Sanjay; Bendlin, Barbara B.; Blennow, Kaj; Zetterberg, Henrik; Gleason, Carey E.; Carlsson, Cynthia M.; Johnson, Sterling C.",2016,10.1093/brain/aww142,Brain : a journal of neurology
Biochemical and Hematological Correlates of Elevated Homocysteine in National Surveys and a Longitudinal Study of Urban Adults.,"Beydoun, May A.; Beydoun, Hind A.; MacIver, Peter H.; Hossain, Sharmin; Canas, Jose A.; Evans, Michele K.; Zonderman, Alan B.",2020,10.3390/nu12040950,Nutrients
Bi-directional Association of Cerebrospinal Fluid Immune Markers with Stage of Alzheimer's Disease Pathogenesis.,"Meyer, Pierre-François; Savard, Melissa; Poirier, Judes; Labonté, Anne; Rosa-Neto, Pedro; Weitz, Tara M.; Town, Terrence; Breitner, John",2018,10.3233/JAD-170887,Journal of Alzheimer's Disease
Benefits and challenges of research with the oldest old for participants and nurses.,Leahy MJ; Thurber D; Calvert JF Jr.,2005,"",Geriatric Nursing
Atrophy of the parietal lobe in preclinical dementia.,"Jacobs, Heidi I. L.; Van Boxtel, Martin P. J.; Uylings, Harry B. M.; Gronenschild, Ed H. B. M.; Verhey, Frans R.; Jolles, Jelle",2011,10.1016/j.bandc.2010.11.003,Brain & Cognition
Associations of Successful Aging With Socioeconomic Position Across the Life-Course: The West of Scotland Twenty-07 Prospective Cohort Study.,"Whitley, Elise; Benzeval, Michaela; Popham, Frank",2018,10.1177/0898264316665208,Journal of aging and health
Associations of parental ages at childbirth with healthy aging among women.,"Shadyab, Aladdin H.; Manson, JoAnn E.; Li, Wenjun; Gass, Margery; Brunner, Robert L.; Naughton, Michelle J.; Cannell, Brad; Howard, Barbara V.; LaCroix, Andrea Z.",2019,10.1016/j.maturitas.2019.08.002,Maturitas
Associations of overweight and metabolic health with successful aging: 32-year follow-up of the Helsinki Businessmen Study.,"Jyväkorpi, Satu K.; Urtamo, Annele; Strandberg, Arto Y.; von Bonsdorff, Mikaela; Salomaa, Veikko; Kivimäki, Mika; Luotola, Kari; Strandberg, Timo E.",2020,10.1016/j.clnu.2019.06.011,Clinical Nutrition
"Associations of Objectively Measured Physical Activity and Sedentary Time with the Risk of Stroke, Myocardial Infarction or All-Cause Mortality in 70-Year-Old Men and Women: A Prospective Cohort Study.","Ballin, Marcel; Nordström, Peter; Niklasson, Johan; Nordström, Anna",2021,10.1007/s40279-020-01356-y,Sports Medicine
Associations of Lifestyle Behaviour and Healthy Ageing in Five Latin American and the Caribbean Countries-A 10/66 Population-Based Cohort Study.,"Daskalopoulou, Christina; Koukounari, Artemis; Ayuso-Mateos, José Luis; Prince, Martin; Prina, A. Matthew",2018,10.3390/nu10111593,Nutrients
Association of urinary melatonin levels and aging-related outcomes in older men.,"Devore, Elizabeth E.; Harrison, Stephanie L.; Stone, Katie L.; Holton, Kathleen F.; Barrett-Connor, Elizabeth; Ancoli-Israel, Sonia; Yaffe, Kristine; Ensrud, Kristine; Cawthon, Peggy M.; Redline, Susan; Orwoll, Eric; Schernhammer, Eva S.",2016,10.1016/j.sleep.2016.07.006,Sleep Medicine
Association of regional muscle strength with mortality and hospitalisation in older people.,"GUADALUPE-GRAU, AMELIA; CARNICERO, JOSÉ A.; GÓMEZ-CABELLO, ALBA; GUTIÉRREZ AVILA, GONZALO; HUMANES, SONIA; ALEGRE, LUIS M.; CASTRO, MARTA; RODRÍGUEZ-MAÑAS, LEOCADIO; GARCÍA-GARCÍA, FRANCISCO JOSÉ",2015,10.1093/ageing/afv080,Age & Ageing
Association of nutritional risk and depressive symptoms with physical performance in the elderly: the Quebec longitudinal study of nutrition as a determinant of  successful aging (NuAge).,"Avila-Funes, José Alberto; Gray-Donald, Katherine; Payette, Hélène",2008,10.1080/07315724.2008.10719730,Journal of the American College of Nutrition
Association of Midlife Cardiorespiratory Fitness With Incident Depression and Cardiovascular Death After Depression in Later Life.,"Willis, Benjamin L.; Leonard, David; Barlow, Carolyn E.; Martin, Scott B.; DeFina, Laura F.; Trivedi, Madhukar H.",2018,10.1001/jamapsychiatry.2018.1467,JAMA psychiatry
"Association of longitudinal white matter degeneration and cerebrospinal fluid biomarkers of neurodegeneration, inflammation and Alzheimer's disease in  late-middle-aged adults.","Racine, Annie M.; Merluzzi, Andrew P.; Adluru, Nagesh; Norton, Derek; Koscik, Rebecca L.; Clark, Lindsay R.; Berman, Sara E.; Nicholas, Christopher R.; Asthana, Sanjay; Alexander, Andrew L.; Blennow, Kaj; Zetterberg, Henrik; Kim, Won Hwa; Singh, Vikas; Carlsson, Cynthia M.; Bendlin, Barbara B.; Johnson, Sterling C.",2019,10.1007/s11682-017-9732-9,Brain imaging and behavior
Association of living alone and hospitalization among community-dwelling elders with and without dementia.,"Ennis, Stephanie K.; Larson, Eric B.; Grothaus, Louis; Helfrich, Christian D.; Balch, Steven; Phelan, Elizabeth A.",2014,10.1007/s11606-014-2904-z,Journal of general internal medicine
"Association of Hearing Loss with Physical, Social, and Mental Activity Engagement.","Goman, Adele M.; Gao, Tess; Betz, Joshua; Reed, Nicholas S.; Deal, Jennifer A.; Lin, Frank R.",2021,10.1055/s-0041-1726001,Seminars in Hearing
"Association of depressive symptoms, trait anxiety, and perceived stress with subclinical atherosclerosis: results from the Chicago Healthy Aging Study (CHAS).","Hernandez, Rosalba; Allen, Norrina Bai; Liu, Kiang; Stamler, Jeremiah; Reid, Kathryn Jean; Zee, Phyllis C.; Wu, Donghong; Kang, Joseph; Garside, Daniel B.; Daviglus, Martha L.",2014,10.1016/j.ypmed.2013.12.032,Preventive Medicine
